iter	Passed	Remaining
0	9	9508
1	12	6457
2	17	5841
3	22	5493
4	25	5127
5	30	5030
6	35	4968
7	39	4916
8	43	4736
9	46	4644
10	50	4529
11	54	4500
12	58	4410
13	62	4373
14	65	4332
15	69	4288
16	73	4244
17	77	4217
18	81	4225
19	85	4193
20	88	4147
21	93	4134
22	96	4088
23	100	4067
24	103	4036
25	107	4036
26	111	4006
27	115	4015
28	119	3988
29	123	3979
30	126	3961
31	130	3959
32	134	3935
33	138	3933
34	141	3910
35	146	3913
36	149	3890
37	153	3887
38	158	3893
39	161	3886
40	165	3878
41	169	3873
42	173	3852
43	177	3866
44	181	3849
45	185	3851
46	189	3834
47	193	3838
48	196	3821
49	200	3815
50	205	3816
51	208	3805
52	212	3792
53	216	3789
54	219	3773
55	223	3775
56	228	3773
57	231	3765
58	235	3750
59	239	3745
60	242	3730
61	246	3723
62	250	3719
63	254	3720
64	258	3715
65	262	3709
66	265	3696
67	269	3688
68	272	3676
69	278	3699
70	281	3686
71	285	3681
72	289	3671
73	293	3677
74	297	3670
75	301	3670
76	305	3658
77	309	3652
78	312	3642
79	316	3640
80	319	3627
81	323	3624
82	326	3609
83	330	3603
84	334	3604
85	339	3608
86	348	3656
87	351	3642
88	356	3648
89	363	3672
90	368	3679
91	377	3727
92	390	3812
93	399	3850
94	408	3889
95	416	3918
96	426	3973
97	433	3990
98	445	4051
99	455	4099
100	460	4099
101	473	4165
102	485	4228
103	493	4254
104	502	4286
105	511	4316
106	524	4375
107	533	4403
108	544	4453
109	553	4479
110	562	4504
111	572	4536
112	583	4581
113	595	4624
114	603	4646
115	612	4663
116	616	4652
117	630	4711
118	637	4719
119	649	4763
120	654	4756
121	667	4801
122	677	4829
123	692	4894
124	701	4911
125	710	4928
126	724	4979
127	731	4986
128	742	5012
129	749	5017
130	760	5047
131	766	5041
132	786	5125
133	797	5153
134	810	5194
135	822	5226
136	835	5260
137	844	5276
138	848	5257
139	853	5242
140	857	5224
141	862	5210
142	866	5192
143	871	5183
144	877	5173
145	886	5186
146	897	5205
147	908	5227
148	915	5231
149	924	5240
150	935	5260
151	944	5268
152	955	5288
153	961	5284
154	972	5301
155	982	5313
156	986	5296
157	990	5277
158	994	5259
159	999	5248
160	1004	5234
161	1008	5218
162	1013	5204
163	1018	5192
164	1023	5178
165	1028	5166
166	1031	5147
167	1036	5133
168	1039	5112
169	1044	5097
170	1047	5077
171	1051	5060
172	1054	5039
173	1057	5022
174	1061	5003
175	1066	4992
176	1069	4975
177	1073	4957
178	1077	4941
179	1081	4926
180	1084	4908
181	1088	4892
182	1091	4873
183	1095	4857
184	1098	4839
185	1102	4823
186	1105	4805
187	1109	4790
188	1113	4776
189	1116	4760
190	1119	4743
191	1123	4729
192	1127	4714
193	1130	4697
194	1134	4681
195	1136	4663
196	1140	4649
197	1146	4643
198	1149	4628
199	1152	4611
200	1156	4598
201	1160	4584
202	1163	4567
203	1167	4554
204	1170	4539
205	1174	4525
206	1177	4511
207	1180	4496
208	1183	4480
209	1186	4465
210	1189	4449
211	1193	4435
212	1196	4421
213	1199	4407
214	1203	4392
215	1206	4379
216	1209	4363
217	1212	4349
218	1216	4337
219	1220	4326
220	1223	4313
221	1227	4301
222	1230	4286
223	1233	4273
224	1237	4262
225	1240	4249
226	1244	4236
227	1247	4222
228	1250	4209
229	1253	4196
230	1257	4185
231	1261	4175
232	1264	4162
233	1267	4149
234	1271	4138
235	1274	4126
236	1278	4114
237	1281	4103
238	1284	4090
239	1288	4080
240	1291	4067
241	1294	4055
242	1297	4042
243	1301	4033
244	1304	4019
245	1307	4007
246	1310	3995
247	1314	3985
248	1321	3985
249	1326	3978
250	1332	3976
251	1336	3966
252	1339	3956
253	1342	3944
254	1346	3932
255	1349	3921
256	1352	3910
257	1355	3899
258	1359	3889
259	1362	3878
260	1365	3866
261	1368	3855
262	1372	3846
263	1375	3835
264	1379	3825
265	1382	3814
266	1385	3804
267	1388	3792
268	1392	3783
269	1395	3773
270	1398	3763
271	1403	3755
272	1408	3749
273	1420	3763
274	1427	3764
275	1431	3754
276	1435	3747
277	1440	3742
278	1444	3732
279	1448	3724
280	1452	3717
281	1456	3707
282	1459	3696
283	1462	3686
284	1465	3676
285	1468	3666
286	1471	3655
287	1474	3646
288	1478	3637
289	1481	3628
290	1485	3620
291	1489	3611
292	1492	3601
293	1495	3592
294	1498	3582
295	1502	3573
296	1505	3562
297	1508	3552
298	1511	3543
299	1515	3535
300	1517	3525
301	1521	3515
302	1524	3506
303	1527	3498
304	1531	3488
305	1534	3479
306	1537	3469
307	1540	3460
308	1543	3452
309	1547	3445
310	1550	3435
311	1553	3426
312	1556	3417
313	1560	3409
314	1563	3400
315	1566	3391
316	1569	3382
317	1572	3373
318	1577	3366
319	1580	3359
320	1584	3352
321	1588	3344
322	1591	3334
323	1594	3326
324	1597	3317
325	1600	3308
326	1603	3300
327	1607	3293
328	1610	3284
329	1613	3275
330	1616	3267
331	1619	3259
332	1623	3251
333	1626	3243
334	1629	3235
335	1632	3226
336	1645	3237
337	1648	3229
338	1652	3221
339	1655	3213
340	1659	3207
341	1662	3198
342	1665	3189
343	1668	3181
344	1671	3172
345	1674	3164
346	1677	3156
347	1680	3149
348	1683	3141
349	1687	3133
350	1690	3125
351	1693	3117
352	1696	3110
353	1699	3101
354	1702	3094
355	1706	3087
356	1710	3080
357	1713	3072
358	1716	3065
359	1719	3057
360	1722	3049
361	1726	3042
362	1730	3037
363	1733	3029
364	1736	3021
365	1739	3013
366	1742	3006
367	1745	2998
368	1749	2991
369	1752	2983
370	1755	2975
371	1759	2970
372	1762	2963
373	1766	2956
374	1769	2948
375	1773	2942
376	1776	2936
377	1779	2928
378	1782	2920
379	1785	2913
380	1788	2906
381	1791	2898
382	1794	2891
383	1798	2884
384	1801	2877
385	1805	2871
386	1808	2865
387	1811	2857
388	1815	2852
389	1818	2844
390	1823	2839
391	1826	2832
392	1829	2825
393	1832	2818
394	1835	2811
395	1838	2803
396	1841	2796
397	1844	2789
398	1847	2782
399	1851	2777
400	1854	2770
401	1857	2763
402	1862	2759
403	1866	2754
404	1875	2755
405	1881	2753
406	1889	2753
407	1898	2754
408	1906	2754
409	1911	2750
410	1920	2752
411	1929	2753
412	1938	2754
413	1945	2754
414	1955	2756
415	1963	2756
416	1972	2758
417	1981	2759
418	1990	2759
419	2000	2762
420	2012	2767
421	2021	2768
422	2031	2770
423	2040	2772
424	2049	2772
425	2058	2773
426	2066	2773
427	2075	2773
428	2095	2788
429	2106	2792
430	2121	2801
431	2130	2801
432	2138	2799
433	2144	2796
434	2153	2797
435	2163	2798
436	2171	2798
437	2184	2802
438	2192	2801
439	2201	2802
440	2209	2800
441	2218	2800
442	2226	2799
443	2234	2798
444	2243	2797
445	2249	2794
446	2258	2793
447	2267	2794
448	2275	2792
449	2283	2790
450	2291	2789
451	2301	2790
452	2310	2790
453	2319	2790
454	2332	2794
455	2341	2792
456	2350	2792
457	2363	2797
458	2378	2803
459	2386	2801
460	2398	2804
461	2407	2802
462	2415	2801
463	2424	2801
464	2430	2796
465	2445	2802
466	2457	2804
467	2466	2804
468	2480	2808
469	2491	2809
470	2501	2809
471	2510	2808
472	2524	2812
473	2534	2812
474	2542	2810
475	2554	2811
476	2562	2809
477	2574	2811
478	2590	2818
479	2600	2816
480	2610	2816
481	2622	2818
482	2637	2822
483	2647	2822
484	2659	2824
485	2674	2829
486	2687	2830
487	2696	2829
488	2707	2829
489	2724	2835
490	2743	2843
491	2756	2845
492	2766	2844
493	2777	2845
494	2790	2846
495	2800	2845
496	2808	2842
497	2818	2840
498	2827	2839
499	2836	2836
500	2843	2832
501	2854	2831
502	2863	2828
503	2873	2828
504	2883	2826
505	2889	2821
506	2898	2818
507	2908	2817
508	2917	2814
509	2928	2813
510	2938	2811
511	2954	2815
512	2961	2811
513	2972	2810
514	2982	2808
515	2993	2807
516	3003	2806
517	3013	2803
518	3022	2800
519	3030	2797
520	3039	2794
521	3053	2795
522	3061	2792
523	3069	2788
524	3079	2786
525	3088	2783
526	3099	2781
527	3108	2779
528	3117	2776
529	3128	2773
530	3141	2774
531	3151	2772
532	3161	2769
533	3169	2766
534	3179	2763
535	3188	2760
536	3197	2756
537	3207	2753
538	3218	2752
539	3229	2751
540	3237	2746
541	3247	2744
542	3257	2741
543	3266	2737
544	3275	2734
545	3284	2731
546	3295	2729
547	3304	2725
548	3316	2724
549	3325	2720
550	3337	2719
551	3346	2716
552	3356	2713
553	3367	2710
554	3375	2706
555	3385	2703
556	3394	2699
557	3404	2697
558	3413	2692
559	3421	2688
560	3433	2686
561	3442	2682
562	3450	2678
563	3459	2674
564	3472	2673
565	3482	2670
566	3491	2666
567	3502	2663
568	3512	2660
569	3520	2655
570	3533	2654
571	3545	2652
572	3555	2649
573	3565	2646
574	3574	2642
575	3583	2637
576	3592	2633
577	3602	2630
578	3611	2626
579	3621	2622
580	3630	2618
581	3641	2615
582	3649	2610
583	3658	2605
584	3662	2598
585	3674	2595
586	3683	2591
587	3695	2589
588	3706	2586
589	3719	2585
590	3733	2583
591	3744	2580
592	3770	2587
593	3796	2595
594	3810	2593
595	3818	2588
596	3823	2580
597	3834	2577
598	3845	2574
599	3857	2571
600	3871	2570
601	3880	2565
602	3891	2561
603	3901	2557
604	3910	2553
605	3919	2548
606	3931	2545
607	3939	2540
608	3948	2535
609	3959	2531
610	3970	2527
611	3978	2522
612	3988	2517
613	4001	2515
614	4012	2512
615	4020	2506
616	4029	2501
617	4038	2496
618	4047	2491
619	4057	2487
620	4071	2484
621	4081	2480
622	4091	2475
623	4101	2471
624	4111	2466
625	4121	2462
626	4133	2458
627	4144	2454
628	4155	2450
629	4164	2445
630	4175	2441
631	4190	2439
632	4200	2435
633	4209	2430
634	4219	2425
635	4229	2420
636	4238	2415
637	4251	2412
638	4259	2406
639	4268	2400
640	4275	2394
641	4287	2390
642	4295	2384
643	4306	2380
644	4317	2376
645	4324	2369
646	4335	2365
647	4347	2361
648	4358	2357
649	4366	2351
650	4374	2345
651	4383	2339
652	4392	2334
653	4401	2328
654	4410	2323
655	4420	2317
656	4430	2312
657	4440	2308
658	4449	2302
659	4458	2296
660	4468	2291
661	4480	2287
662	4492	2283
663	4505	2279
664	4514	2274
665	4521	2267
666	4531	2262
667	4541	2257
668	4550	2251
669	4558	2245
670	4567	2239
671	4576	2233
672	4585	2228
673	4595	2222
674	4606	2217
675	4615	2211
676	4624	2206
677	4633	2200
678	4642	2194
679	4652	2189
680	4661	2183
681	4670	2177
682	4680	2172
683	4689	2166
684	4700	2161
685	4710	2156
686	4720	2150
687	4728	2144
